SEASON_1,LOC_X,LOC_Y,SHOT_PCT
2024,14.0,88.0,0.0
2024,-8.0,89.0,0.0
2024,21.0,84.0,0.0
2024,17.0,85.0,0.0
2024,22.0,83.0,0.0
2024,-15.0,83.0,0.0
2024,1.0,85.0,0.0
2024,-19.0,81.0,0.0
2024,1.0,84.0,0.0
2024,18.0,80.0,0.0
2024,-2.0,83.0,0.0
2024,-3.0,83.0,0.0
2024,-19.0,79.0,0.0
2024,-14.0,81.0,0.0
2024,7.0,82.0,0.0
2024,-5.0,82.0,0.0
2024,23.0,77.0,0.0
2024,6.0,81.0,0.0
2024,-1.0,80.0,0.0
2024,-19.0,76.0,0.0
2024,19.0,77.0,0.0
2024,-16.0,77.0,0.0
2024,22.0,75.0,0.0
2024,-16.0,76.0,0.0
2024,-11.0,77.0,0.0
2024,-7.0,78.0,0.0
2024,10.0,76.0,0.0
2024,-12.0,76.0,0.0
2024,0.0,76.0,0.0
2024,-0.0,77.0,0.0
2024,16.0,74.0,0.0
2024,-8.0,75.0,0.0
2024,-3.0,76.0,0.0
2024,15.0,73.0,0.0
2024,-7.0,74.0,0.0
2024,6.0,74.0,0.0
2024,-1.0,74.0,0.0
2024,0.0,75.0,0.0
2024,17.0,72.0,0.0
2024,-11.0,72.0,0.0
2024,12.0,73.0,0.0
2024,11.0,73.0,0.0
2024,6.0,73.0,0.0
2024,0.0,73.0,0.0
2024,22.0,69.0,0.0
2024,-18.0,71.0,0.0
2024,11.0,71.0,0.0
2024,-8.0,72.0,0.0
2024,10.0,72.0,0.0
2024,-3.0,73.0,0.0
2024,-6.0,73.0,0.0
2024,7.0,73.0,0.0
2024,1.0,73.0,0.0
2024,15.0,71.0,0.0
2024,10.0,71.0,0.0
2024,-2.0,72.0,0.0
2024,0.0,72.0,0.0
2024,-1.0,72.0,0.0
2024,-20.0,68.0,0.0
2024,17.0,69.0,0.0
2024,-17.0,69.0,0.0
2024,-12.0,70.0,0.0
2024,-3.0,70.0,0.0
2024,1.0,71.0,0.0
2024,-7.0,71.0,0.0
2024,0.0,71.0,0.0
2024,-19.0,67.0,0.0
2024,19.0,67.0,0.0
2024,20.0,67.0,0.0
2024,13.0,68.0,0.0
2024,-4.0,69.0,0.0
2024,5.0,69.0,0.0
2024,-2.0,69.0,0.0
2024,-21.0,65.0,0.0
2024,21.0,65.0,0.0
2024,17.0,66.0,0.0
2024,-12.0,67.0,0.0
2024,11.0,68.0,0.0
2024,10.0,68.0,0.0
2024,0.0,68.0,0.0
2024,1.0,69.0,0.0
2024,22.0,64.0,0.0
2024,-18.0,65.0,0.0
2024,-15.0,66.0,0.0
2024,-12.0,66.0,0.0
2024,16.0,66.0,0.0
2024,0.0,67.0,1.0
2024,6.0,67.0,0.0
2024,7.0,68.0,0.0
2024,-4.0,68.0,0.0
2024,17.0,64.0,0.0
2024,17.0,65.0,0.0
2024,13.0,65.0,0.0
2024,-14.0,66.0,1.0
2024,-6.0,66.0,0.0
2024,-19.0,62.0,0.0
2024,-21.0,62.0,0.0
2024,-17.0,63.0,0.0
2024,-19.0,63.0,0.0
2024,-16.0,63.0,0.0
2024,17.0,63.0,0.0
2024,14.0,64.0,0.0
2024,12.0,64.0,0.0
2024,12.0,65.0,0.0
2024,5.0,65.0,0.0
2024,-2.0,65.0,0.0
2024,5.0,66.0,0.0
2024,21.0,61.0,0.0
2024,18.0,62.0,0.0
2024,19.0,62.0,0.0
2024,12.0,63.0,0.0
2024,2.0,64.0,0.0
2024,3.0,65.0,0.0
2024,7.0,65.0,0.0
2024,-22.0,59.0,0.0
2024,-21.0,60.0,0.0
2024,-17.0,61.0,0.5
2024,-18.0,61.0,0.0
2024,-16.0,61.0,0.0
2024,14.0,62.0,0.0
2024,12.0,62.0,0.0
2024,7.0,63.0,0.0
2024,-2.0,64.0,0.0
2024,7.0,64.0,0.0
2024,-7.0,64.0,0.0
2024,1.0,64.0,0.0
2024,-22.0,58.0,0.0
2024,-20.0,59.0,0.0
2024,-18.0,60.0,0.0
2024,-17.0,60.0,0.0
2024,13.0,61.0,0.0
2024,-14.0,61.0,0.0
2024,-10.0,61.0,0.0
2024,12.0,61.0,0.0
2024,7.0,62.0,0.0
